Filename,Predicted Class
0000_soil,soil
0001_soil,soil
0002_tree,soil
0003_soil,soil
0004_soil,soil
0005_soil,soil
0006_tree,soil
0007_tree,tree
0008_soil,soil
0009_soil,soil
0010_soil,soil
0011_soil,soil
0012_soil,soil
0013_soil,soil
0014_soil,soil
0015_tree,soil
0016_soil,soil
0017_soil,soil
0018_soil,soil
0019_soil,soil
0020_soil,soil
0021_soil,soil
0022_tree,tree
0023_soil,soil
0024_soil,soil
0025_soil,soil
0026_soil,soil
0027_soil,soil
0028_soil,soil
0029_tree,tree
0030_tree,tree
0031_soil,soil
0032_tree,tree
0033_tree,tree
0034_soil,soil
0035_soil,soil
0036_soil,soil
0037_soil,soil
0038_soil,soil
0039_soil,soil
0040_soil,soil
0041_soil,soil
0042_soil,soil
0043_tree,tree
0044_soil,soil
0045_soil,soil
0046_tree,tree
0047_tree,soil
0048_tree,soil
0049_soil,soil
0050_soil,soil
0051_tree,soil
0052_soil,soil
0053_soil,soil
0054_tree,tree
0055_soil,tree
0056_tree,tree
0057_soil,soil
0058_soil,soil
0059_soil,soil
0060_soil,soil
0061_soil,soil
0062_soil,tree
0063_tree,tree
0064_soil,soil
0065_soil,soil
0066_soil,soil
0067_tree,tree
0068_tree,soil
0069_soil,tree
0070_tree,tree
0071_tree,tree
0072_soil,soil
0073_soil,soil
0074_soil,soil
0075_tree,tree
0076_soil,soil
0077_tree,tree
0078_soil,soil
0079_tree,soil
0080_soil,soil
0081_soil,soil
0082_soil,soil
0083_tree,tree
0084_soil,soil
0085_soil,soil
0086_soil,soil
0087_soil,soil
0088_tree,tree
0089_soil,soil
0090_tree,soil
0091_soil,soil
0092_soil,soil
0093_soil,soil
0094_soil,soil
0095_soil,soil
0096_tree,tree
0097_tree,tree
0098_soil,soil
0099_soil,soil
0100_tree,tree
0101_soil,soil
0102_tree,tree
0103_soil,soil
0104_tree,tree
0105_soil,soil
0106_soil,soil
0107_soil,soil
0108_tree,tree
0109_tree,tree
0110_soil,soil
0111_soil,soil
0112_soil,soil
0113_soil,soil
0114_tree,tree
0115_soil,soil
0116_soil,soil
0117_tree,soil
0118_soil,soil
0119_tree,tree
0120_soil,tree
0121_soil,soil
0122_tree,tree
0123_soil,soil
0124_tree,tree
0125_soil,soil
0126_soil,soil
0127_tree,tree
0128_tree,tree
0129_soil,soil
0130_soil,soil
0131_soil,soil
0132_soil,soil
0133_soil,soil
0134_tree,tree
0135_soil,soil
0136_soil,soil
0137_tree,tree
0138_tree,soil
0139_soil,soil
0140_soil,soil
0141_soil,soil
0142_soil,soil
0143_soil,soil
0144_soil,soil
0145_soil,soil
0146_soil,soil
0147_soil,soil
0148_tree,tree
0149_tree,tree
0150_tree,tree
0151_tree,soil
0152_tree,soil
0153_tree,tree
0154_tree,tree
0155_soil,soil
0156_soil,soil
0157_soil,soil
0158_tree,tree
0159_soil,soil
0160_tree,tree
0161_soil,soil
0162_tree,tree
0163_tree,tree
0164_soil,soil
0165_soil,soil
0166_tree,tree
0167_soil,soil
0168_soil,soil
0169_tree,tree
0170_soil,soil
0171_tree,tree
0172_soil,soil
0173_tree,tree
0174_soil,soil
0175_tree,tree
0176_soil,tree
0177_soil,soil
0178_soil,soil
0179_soil,soil
0180_soil,soil
0181_tree,tree
0182_tree,tree
0183_soil,soil
0184_soil,soil
0185_soil,soil
0186_tree,soil
0187_soil,soil
0188_soil,tree
0189_soil,soil
0190_soil,soil
0191_soil,soil
0192_soil,tree
0193_soil,soil
0194_soil,soil
0195_soil,soil
0196_soil,soil
0197_soil,soil
0198_soil,tree
0199_tree,tree
0200_soil,soil
0201_tree,tree
0202_tree,tree
0203_soil,soil
0204_soil,soil
0205_soil,soil
0206_tree,tree
0207_tree,tree
0208_soil,soil
0209_soil,soil
0210_soil,soil
0211_soil,tree
0212_tree,tree
0213_tree,tree
0214_soil,soil
0215_soil,soil
0216_soil,soil
0217_soil,soil
0218_soil,soil
0219_soil,soil
0220_tree,soil
0221_soil,soil
0222_soil,tree
0223_soil,tree
0224_soil,soil
0225_tree,tree
0226_soil,soil
0227_soil,soil
0228_soil,soil
0229_soil,tree
0230_soil,soil
0231_soil,soil
0232_soil,soil
0233_soil,soil
0234_soil,soil
0235_soil,soil
0236_soil,soil
0237_tree,tree
0238_tree,tree
0239_soil,soil
0240_tree,tree
0241_tree,tree
0242_soil,soil
0243_soil,soil
0244_soil,soil
0245_soil,soil
0246_soil,soil
0247_soil,soil
0248_tree,tree
0249_tree,tree
0250_soil,soil
0251_tree,soil
0252_soil,soil
0253_tree,tree
0254_soil,soil
0255_soil,soil
0256_soil,soil
0257_soil,soil
0258_soil,soil
0259_tree,tree
0260_soil,soil
0261_soil,soil
0262_tree,soil
0263_soil,soil
0264_tree,tree
0265_soil,soil
0266_soil,soil
0267_soil,soil
0268_soil,soil
0269_soil,soil
0270_soil,soil
0271_tree,tree
0272_tree,tree
0273_soil,soil
0274_soil,soil
0275_tree,tree
0276_soil,soil
0277_tree,tree
0278_soil,soil
0279_soil,soil
0280_soil,soil
0281_tree,soil
0282_soil,soil
0283_soil,soil
0284_soil,soil
0285_tree,tree
0286_soil,soil
0287_soil,soil
0288_soil,soil
0289_tree,tree
0290_soil,tree
0291_soil,tree
0292_soil,soil
0293_tree,tree
0294_tree,tree
0295_soil,soil
0296_soil,soil
0297_soil,soil
0298_tree,tree
0299_tree,tree
0300_tree,tree
0301_tree,tree
0302_soil,soil
0303_tree,tree
0304_soil,soil
0305_soil,tree
0306_soil,soil
0307_soil,soil
0308_soil,soil
0309_soil,soil
0310_soil,soil
0311_tree,tree
0312_tree,tree
0313_tree,soil
0314_soil,soil
0315_soil,soil
0316_soil,soil
0317_tree,tree
0318_soil,soil
0319_soil,soil
0320_soil,soil
0321_tree,soil
0322_tree,soil
0323_soil,soil
0324_soil,soil
0325_tree,tree
0326_soil,tree
0327_soil,soil
0328_soil,soil
0329_soil,soil
0330_tree,soil
0331_soil,soil
0332_tree,tree
0333_soil,soil
0334_soil,soil
0335_tree,tree
0336_tree,tree
0337_soil,soil
0338_tree,tree
0339_tree,tree
0340_soil,soil
0341_soil,soil
0342_soil,soil
0343_soil,soil
0344_soil,soil
0345_soil,soil
0346_tree,soil
0347_soil,soil
0348_soil,tree
0349_soil,soil
0350_soil,soil
0351_tree,soil
0352_soil,soil
0353_tree,tree
0354_soil,tree
0355_tree,tree
0356_soil,soil
0357_soil,soil
0358_tree,tree
0359_soil,soil
0360_soil,soil
0361_soil,soil
0362_tree,soil
0363_tree,tree
0364_soil,soil
0365_tree,soil
0366_soil,soil
0367_soil,soil
0368_soil,soil
0369_soil,soil
0370_tree,tree
0371_soil,soil
0372_soil,soil
0373_soil,soil
0374_soil,soil
0375_soil,soil
0376_soil,soil
0377_soil,soil
0378_soil,soil
0379_soil,tree
0380_soil,soil
0381_soil,soil
0382_soil,soil
0383_soil,soil
0384_tree,soil
0385_tree,tree
0386_soil,soil
0387_soil,soil
0388_soil,soil
0389_tree,tree
0390_soil,soil
0391_soil,tree
0392_soil,soil
0393_soil,soil
0394_soil,soil
0395_tree,tree
0396_soil,soil
0397_soil,soil
0398_soil,soil
0399_soil,soil
0400_tree,tree
0401_soil,soil
0402_soil,soil
0403_tree,tree
0404_soil,soil
0405_soil,soil
0406_tree,soil
0407_tree,tree
0408_soil,tree
0409_tree,tree
0410_soil,soil
0411_tree,tree
0412_tree,soil
0413_soil,soil
0414_soil,soil
0415_soil,soil
0416_tree,soil
0417_tree,tree
0418_soil,soil
0419_tree,soil
0420_soil,soil
0421_tree,tree
0422_soil,soil
0423_soil,soil
0424_tree,tree
0425_soil,soil
0426_soil,soil
0427_soil,soil
0428_soil,soil
0429_soil,soil
0430_soil,soil
0431_tree,tree
0432_soil,soil
0433_soil,soil
0434_tree,soil
0435_soil,soil
0436_soil,soil
0437_tree,tree
0438_tree,tree
0439_tree,tree
0440_soil,soil
0441_soil,soil
0442_soil,soil
0443_soil,soil
0444_tree,tree
0445_soil,soil
0446_tree,tree
0447_tree,tree
0448_tree,tree
0449_soil,soil
0450_soil,soil
0451_tree,tree
0452_tree,tree
0453_tree,tree
0454_soil,soil
0455_soil,soil
0456_soil,tree
0457_soil,soil
0458_soil,soil
0459_tree,tree
0460_soil,soil
0461_tree,tree
0462_soil,soil
0463_tree,soil
0464_tree,tree
0465_soil,soil
0466_soil,soil
0467_tree,soil
0468_soil,soil
0469_tree,tree
0470_soil,soil
0471_soil,soil
0472_soil,soil
0473_tree,tree
0474_soil,soil
0475_tree,soil
0476_tree,tree
0477_soil,soil
0478_tree,tree
0479_soil,tree
0480_tree,tree
0481_tree,tree
0482_tree,tree
0483_tree,tree
0484_tree,soil
0485_soil,soil
0486_soil,soil
0487_soil,soil
0488_tree,tree
0489_tree,tree
0490_soil,soil
0491_soil,soil
0492_soil,soil
0493_soil,tree
0494_soil,soil
0495_soil,soil
0496_tree,soil
0497_soil,tree
0498_tree,tree
0499_tree,tree
0500_tree,tree
0501_tree,soil
0502_soil,soil
0503_soil,soil
0504_soil,soil
0505_soil,soil
0506_tree,tree
0507_tree,tree
0508_soil,soil
0509_tree,soil
0510_tree,tree
0511_soil,soil
0512_tree,tree
0513_soil,soil
0514_tree,tree
0515_soil,soil
0516_tree,tree
0517_soil,soil
0518_tree,tree
0519_soil,soil
0520_soil,soil
0521_soil,soil
0522_soil,soil
0523_tree,tree
0524_soil,soil
0525_soil,soil
0526_soil,soil
0527_soil,soil
0528_soil,soil
0529_tree,tree
0530_soil,soil
0531_soil,soil
0532_soil,soil
0533_soil,soil
0534_soil,tree
0535_soil,soil
0536_soil,soil
0537_soil,soil
0538_soil,soil
0539_soil,soil
0540_tree,tree
0541_soil,soil
0542_soil,soil
0543_soil,soil
0544_soil,soil
0545_soil,soil
0546_tree,tree
0547_tree,soil
0548_soil,soil
0549_soil,soil
0550_soil,soil
0551_tree,tree
0552_soil,soil
0553_soil,soil
0554_tree,tree
0555_soil,soil
0556_soil,soil
0557_tree,soil
0558_tree,tree
0559_soil,soil
0560_soil,soil
0561_soil,soil
0562_tree,tree
0563_soil,soil
0564_tree,tree
0565_soil,soil
0566_soil,soil
0567_soil,soil
0568_soil,soil
0569_soil,soil
0570_tree,tree
0571_soil,soil
0572_tree,tree
0573_soil,soil
0574_soil,soil
0575_soil,soil
0576_tree,tree
0577_tree,tree
0578_tree,tree
0579_tree,tree
0580_tree,soil
0581_soil,soil
0582_soil,soil
0583_tree,tree
0584_soil,soil
0585_soil,soil
0586_soil,soil
0587_soil,tree
0588_soil,soil
0589_tree,soil
0590_tree,soil
0591_tree,tree
0592_soil,soil
0593_soil,soil
0594_tree,soil
0595_soil,tree
0596_soil,soil
0597_soil,soil
0598_soil,soil
0599_soil,soil
0600_tree,tree
0601_soil,soil
0602_soil,soil
0603_tree,tree
0604_tree,tree
0605_soil,soil
0606_soil,soil
0607_tree,soil
0608_soil,soil
0609_soil,soil
0610_tree,tree
0611_soil,soil
0612_soil,soil
0613_soil,soil
0614_soil,soil
0615_soil,soil
0616_soil,soil
0617_soil,soil
0618_tree,tree
0619_soil,soil
0620_tree,soil
0621_soil,soil
0622_soil,soil
0623_tree,tree
0624_soil,tree
0625_tree,tree
0626_soil,soil
0627_soil,soil
0628_tree,tree
0629_soil,soil
0630_tree,soil
0631_soil,soil
0632_soil,soil
0633_tree,tree
0634_soil,soil
0635_soil,soil
0636_soil,soil
0637_soil,soil
0638_soil,soil
0639_tree,tree
0640_tree,tree
0641_soil,soil
0642_tree,tree
0643_soil,soil
0644_soil,soil
0645_soil,soil
0646_tree,tree
0647_tree,tree
0648_soil,soil
0649_soil,soil
0650_soil,soil
0651_tree,soil
0652_tree,soil
0653_tree,soil
0654_soil,soil
0655_tree,tree
0656_soil,soil
0657_tree,soil
0658_soil,tree
0659_tree,tree
0660_soil,soil
0661_tree,soil
0662_tree,tree
0663_soil,soil
0664_tree,soil
0665_tree,tree
0666_soil,soil
0667_soil,soil
0668_soil,soil
0669_tree,soil
0670_soil,soil
0671_tree,tree
0672_tree,tree
0673_soil,soil
0674_soil,soil
0675_tree,soil
0676_tree,tree
0677_soil,soil
0678_soil,tree
0679_soil,soil
0680_soil,soil
0681_soil,soil
0682_soil,soil
0683_tree,tree
0684_tree,tree
0685_soil,soil
0686_tree,tree
0687_soil,soil
0688_tree,tree
0689_soil,soil
0690_soil,soil
0691_soil,soil
0692_tree,tree
0693_soil,soil
0694_soil,soil
0695_soil,soil
0696_soil,soil
0697_soil,soil
0698_soil,soil
0699_soil,soil
0700_soil,soil
0701_soil,soil
0702_soil,soil
